HOMD.org Taxon Data::No Filter Applied Date: 2025-05-15			
HMT-ID	Genus	Species	NCBI Taxon ID
HMT-558	Levilactobacillus	brevis	1580
HMT-559	Afipia	broomeae	56946
HMT-560	Segatella	buccae	28126
HMT-561	Metamycoplasma	buccale	55602
HMT-562	Hoylesella	buccalis	28127
HMT-563	Leptotrichia	buccalis	40542
HMT-565	Enterobacter	cancerogenus	69218
HMT-567	Staphylococcus	caprae	29380
HMT-568	Lacticaseibacillus	casei	1582
HMT-569	Eggerthia	catenaformis	31973
HMT-571	Burkholderia	cepacia	292
HMT-572	Prevotella	veroralis	28137
HMT-574	Escherichia	coli	562
HMT-575	Campylobacter	concisus	199
HMT-576	Streptococcus	constellatus	76860
HMT-577	Eikenella	corrodens	539
HMT-578	Streptococcus	cristatus	45634
HMT-579	Cryptobacterium	curtum	84163
HMT-580	Campylobacter	curvus	200
HMT-582	Kingella	denitrificans	502
HMT-583	Hallella	dentalis	52227
HMT-584	Treponema	denticola	158
HMT-586	Parascardovia	denticolens	78258
HMT-587	Rothia	dentocariosa	2047
HMT-588	Bifidobacterium	dentium	1689
HMT-590	Brevundimonas	diminuta	293
HMT-591	Corynebacterium	diphtheriae	1717
HMT-593	Mogibacterium	diversum	114527
HMT-594	Streptococcus	downei	1317
HMT-595	Corynebacterium	durum	61592
HMT-596	Granulicatella	elegans	137732
HMT-597	Bradyrhizobium	elkanii	29448
HMT-598	Neisseria	elongata	495
HMT-600	Hoylesella	enoeca	76123
HMT-601	Staphylococcus	epidermidis	1282
HMT-602	Slackia	exigua	84109
HMT-603	Bulleidia	extructa	118748
HMT-604	Enterococcus	faecalis	1351
HMT-605	Desulfovibrio	fairfieldensis	44742
HMT-606	Metamycoplasma	faucium	56142
HMT-607	Mycoplasmopsis	fermentans	2115
HMT-608	Limosilactobacillus	fermentum	1613
HMT-609	Neisseria	flava	34026
HMT-610	Neisseria	flavescens	484
HMT-612	Pseudomonas	fluorescens	294
HMT-613	Tannerella	forsythia	28112
HMT-614	Lysinibacillus	fusiformis	28031
HMT-615	Lactobacillus	gasseri	1596
HMT-616	Mycoplasmoides	genitalium	2097
HMT-617	Schaalia	georgiae	52768
HMT-618	Actinomyces	gerencseriae	52769
