HMT-524_16S000353	HMT-524	Veillonella atypica 39777
HMT-524_16S000354	HMT-524	Veillonella atypica 39777
HMT-817_16S000355	HMT-817	Lactobacillus crispatus 47770
HMT-817_16S000356	HMT-817	Lactobacillus crispatus 47770
HMT-161_16S000357	HMT-161	Veillonella parvula 29466
HMT-160_16S000358	HMT-160	Veillonella dispar 39778
HMT-156_16S000359	HMT-156	Veillonella nakazawae 0
HMT-524_16S000360	HMT-524	Veillonella atypica 39777
HMT-524_16S000361	HMT-524	Veillonella atypica 39777
HMT-779_16S000362	HMT-779	Veillonella sp. 0
HMT-839_16S000363	HMT-839	Lactobacillus jensenii 109790
HMT-529_16S000364	HMT-529	Lactobacillus acidophilus 1579
HMT-684_16S000366	HMT-684	Mitsuokella multacida 52226
HMT-779_16S000367	HMT-779	Veillonella sp. 0
HMT-839_16S000368	HMT-839	Lactobacillus jensenii 109790
HMT-839_16S000369	HMT-839	Lactobacillus jensenii 109790
HMT-604_16S000370	HMT-604	Enterococcus faecalis 1351
HMT-779_16S000371	HMT-779	Veillonella sp. 0
HMT-161_16S000372	HMT-161	Veillonella parvula 29466
HMT-684_16S000373	HMT-684	Mitsuokella multacida 52226
HMT-839_16S000374	HMT-839	Lactobacillus jensenii 109790
HMT-839_16S000375	HMT-839	Lactobacillus jensenii 109790
HMT-839_16S000376	HMT-839	Lactobacillus jensenii 109790
HMT-176_16S000377	HMT-176	Actinomyces naeslundii 1655
HMT-684_16S000378	HMT-684	Mitsuokella multacida 52226
HMT-839_16S000379	HMT-839	Lactobacillus jensenii 109790
HMT-171_16S000380	HMT-171	Actinomyces oris 706438
HMT-779_16S000381	HMT-779	Veillonella sp. 0
HMT-529_16S000382	HMT-529	Lactobacillus acidophilus 1579
HMT-421_16S000383	HMT-421	Veillonella tobetsuensis 0
HMT-780_16S000384	HMT-780	Veillonella sp. 671229
HMT-839_16S000385	HMT-839	Lactobacillus jensenii 109790
HMT-780_16S000386	HMT-780	Veillonella sp. 671229
HMT-779_16S000387	HMT-779	Veillonella sp. 0
HMT-880_16S000388	HMT-880	Enterococcus durans 53345
